mol,pic50,smiles
CHEMBL103667,4.522878745,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
CHEMBL1087397,5.698970004,CN(C)Cc1ccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)cc1
CHEMBL1087421,5,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2
CHEMBL1088633,5,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2
CHEMBL1089082,4.301029996,O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)c1cccc(C(F)(F)F)c1
CHEMBL1090360,6,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1
CHEMBL1092830,6.142667504,Cc1cc(NC(=O)/N=c2/[nH]cc(CCNc3cc(Nc4nc[nH]n4)ncn3)s2)c(C(F)(F)F)o1
CHEMBL1094135,7.37675071,COc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2
CHEMBL1094322,6.591760035,COc1ccc(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1
CHEMBL1094400,5,NC(=O)c1nn(-c2ccccc2)c2c1CCc1cnc(Nc3ccccc3)nc1-2
CHEMBL1094401,6.605548319,NC(=O)c1n[nH]c2c1CCc1cnc(Nc3ccccc3)nc1-2
CHEMBL1094402,6.844663963,NC(=O)c1nn(C2CCCCC2)c2c1CCc1cnc(Nc3ccccc3)nc1-2
CHEMBL1094408,8.070581074,COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2
CHEMBL1094477,7.838631998,Cc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2
CHEMBL1094478,7.013228266,CSc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2
CHEMBL1094484,5.951946827,COC(=O)c1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2
CHEMBL1094488,6.025488307,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3Cc3ccccc3)ncc1CC2
CHEMBL1094735,6.366531544,CC(C)n1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2
CHEMBL1094810,6.311580178,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3[N+](=O)[O-])ncc1CC2
CHEMBL1094811,5,Cn1nc(C(N)=O)c2c1-c1nc(Nc3cccc([N+](=O)[O-])c3)ncc1CC2
CHEMBL1094815,5.682772651,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3C(N)=O)ncc1CC2
CHEMBL1094816,5.42794201,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3S(N)(=O)=O)ncc1CC2
CHEMBL1094817,5.805485658,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3-c3ccccc3)ncc1CC2
CHEMBL1094820,6.022733788,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3Nc3ccccc3)ncc1CC2
CHEMBL1094821,5.705754284,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3C(=O)c3ccccc3)ncc1CC2
CHEMBL1094822,5.691862621,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3Sc3ccccc3)ncc1CC2
CHEMBL1095132,5,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccc([N+](=O)[O-])cc3)ncc1CC2
CHEMBL1095448,6.869666232,COc1cccc(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1
CHEMBL1095457,6.958607315,CNc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2
CHEMBL1095709,8.22184875,NC(=O)c1nn(CC(F)(F)F)c2c1CCc1cnc(Nc3ccccc3)nc1-2
CHEMBL1095716,6.962573502,CC(=O)c1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2
CHEMBL1095717,7.397940009,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2
CHEMBL1095771,6.903089987,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3F)ncc1CC2
CHEMBL1095772,6.437707136,CC(C)c1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2
