,Unnamed: 0,mol,smiles,pic50
0,0.0,CHEMBL476124,NC(=O)c1sc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[n+]1[O-],5.838631998
1,1.0,CHEMBL402548,CO[C@@H](C(=O)N1Cc2n[nH]c(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,5.455931956
2,2.0,CHEMBL550741,C[C@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccccc1Cl,6.522878745
3,3.0,CHEMBL2401968,CCC1C(=O)N(C)c2cnc(-n3ccnc3-c3ccc(F)cc3)nc2N1C1CCC(F)(F)C1,6.494850022
4,4.0,CHEMBL4515187,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C(C)C)CC4)cc3OCCO)nc2N1C1CCCC1,7.762205007
5,5.0,CHEMBL4165409,CCC1C(=O)N(C)c2cnc(Nc3ccc(S(=O)(=O)NCC(C)C)cc3)nc2N1c1ccn(C)n1,6.054186873
6,6.0,CHEMBL199657,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3cccc(Cl)c3)c12,4.0
7,7.0,CHEMBL476575,CCOC(=O)/C(C#N)=c1\s/c(=C/Nc2ccc(C(C)=O)cc2)c(=O)n1CC,7.091514981
8,8.0,CHEMBL550338,NC(=O)c1sc(-c2cnc(Nc3ccccc3)s2)cc1OCc1ccccc1C(F)(F)F,5.522878745
9,9.0,CHEMBL452932,C[C@H](Nc1cc2c(-c3ccccc3)noc2cn1)c1ccccc1,5.791558644
10,10.0,CHEMBL220032,COc1cc2ncn(-c3cc(OCC4CCCO4)c(C(N)=O)s3)c2cc1OC,6.599997654
11,11.0,CHEMBL474843,COc1ccc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2c1,8.698970004
12,12.0,CHEMBL598201,Cc1cc(O)ccc1Nc1ncc2c(n1)-c1ccccc1NC(=O)C2,4.698970004
